ID,player1ID,player2ID,pokemonLostByPlayer1,pokemonLostByPlayer2,damageDealtByPlayer1,damageDealtByPlayer2
1,5,679,3,6,16,19
2,9,232,6,5,12,9
3,5,364,6,5,12,21
4,8,593,6,1,19,27
5,8,264,6,4,21,12
6,10,21,6,1,6,27
7,10,525,5,6,21,21
8,6,11,0,6,18,20
9,2,740,5,6,17,12
10,4,127,1,6,31,9
11,6,42,4,6,19,20
12,7,23,6,2,25,27
13,3,713,6,1,10,28
14,7,897,5,6,28,18
15,6,576,6,3,27,20
16,4,942,6,1,19,10
17,5,880,6,2,24,15
18,5,744,6,0,7,19
19,4,799,4,6,19,9
20,7,826,0,6,16,17
21,3,934,6,5,21,18
22,6,766,0,6,15,20
23,6,673,6,3,24,18
24,7,997,6,5,27,16
25,7,881,5,6,17,12
26,2,287,6,0,17,11
27,3,360,6,2,18,6
28,10,540,3,6,30,26
29,6,724,6,3,28,18
30,5,331,6,4,16,16
31,6,924,6,0,30,33
32,8,742,4,6,18,25
33,6,996,6,5,7,16
34,5,37,6,2,10,10
35,7,740,6,2,19,27
36,3,638,6,4,18,19
37,5,828,6,2,15,33
38,8,940,6,2,9,13
39,7,710,3,6,18,19
40,3,820,5,6,19,9
41,7,569,6,5,3,27
42,5,292,4,6,12,15
43,7,380,6,5,21,28
44,7,244,1,6,10,15
45,8,455,2,6,18,23
46,5,574,1,6,30,28
47,8,305,4,6,27,27
48,10,16,0,6,17,19
49,4,562,6,1,14,32
50,2,565,0,6,23,14
51,4,974,6,2,9,12
52,4,1,5,6,19,16
53,10,809,1,6,21,28
54,7,9,3,6,15,4
55,8,77,6,3,7,10
56,5,933,6,5,16,20
57,3,761,6,0,10,20
58,3,121,6,4,18,22
59,7,471,1,6,29,24
60,2,871,6,0,20,32
61,7,501,0,6,18,16
62,7,206,6,2,14,21
63,1,803,3,6,12,13
64,2,495,2,6,19,12
65,3,751,6,4,18,21
66,6,254,3,6,21,16
67,5,713,6,4,12,12
68,6,10,2,6,26,37
69,3,105,6,1,9,24
70,8,315,4,6,26,11
71,7,790,3,6,33,27
72,5,223,6,3,18,21
73,7,261,6,4,28,25
74,5,541,6,2,23,28
75,6,577,5,6,22,7
76,2,906,1,6,5,8
77,8,56,2,6,19,6
78,4,983,6,5,10,21
79,7,401,6,5,3,29
80,10,611,3,6,19,23
81,5,843,6,0,15,22
82,9,21,6,1,14,19
83,4,794,6,0,21,23
84,2,413,6,4,5,24
85,6,134,1,6,26,9
86,10,806,0,6,18,3
87,3,921,6,0,22,18
88,7,127,3,6,18,20
89,3,400,6,0,3,15
90,6,332,4,6,21,11
91,7,599,6,0,20,15
92,6,864,0,6,23,18
93,3,344,6,4,24,17
94,9,239,6,4,17,15
95,2,176,6,4,29,17
96,4,114,6,4,14,20
97,1,537,6,5,13,8
98,7,323,6,4,15,24
99,3,782,1,6,7,15
100,2,163,6,2,22,26
101,6,164,1,6,23,16
102,9,572,1,6,25,28
103,7,460,3,6,6,24
104,1,716,2,6,12,30
